title,subtitle,narrator,runtime,release,language,ratings,price,link
44. Finding Me,A Memoir,Narrated by: Viola Davis,Length: 9 hrs and 15 mins,Release date: 04-26-22,Language: English,"5 out of 5 stars
27,079 ratings",$21.42,https://www.audible.com/pd/Finding-Me-Audiobook/B09F4X96MC?plink=4DXmO9vlIPiqn9n6&ref=a_adblbests_c3_adblp13nbssp_3_4&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=GR1E5YEPGQYQ17NG3CPW
45. No Plan B,A Jack Reacher Novel,Narrated by: Scott Brick,Length: 11 hrs and 3 mins,Release date: 10-25-22,Language: English,"4.5 out of 5 stars
4,491 ratings",$35.00,https://www.audible.com/pd/No-Plan-B-Audiobook/B09PNTZFFY?plink=4DXmO9vlIPiqn9n6&ref=a_adblbests_c3_adblp13nbssp_3_5&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=GR1E5YEPGQYQ17NG3CPW
46. Discipline Is Destiny,The Power of Self-Control,Narrated by: Ryan Holiday,Length: 7 hrs and 17 mins,Release date: 09-27-22,Language: English,"5 out of 5 stars
2,572 ratings",$28.00,https://www.audible.com/pd/Discipline-Is-Destiny-Audiobook/B09SKSKTQP?plink=4DXmO9vlIPiqn9n6&ref=a_adblbests_c3_adblp13nbssp_3_6&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=GR1E5YEPGQYQ17NG3CPW
47. The Four Agreements,no subtitle,Narrated by: Peter Coyote,Length: 2 hrs and 31 mins,Release date: 01-27-05,Language: English,"5 out of 5 stars
52,458 ratings",$14.95,https://www.audible.com/pd/The-Four-Agreements-Audiobook/B002VA3GJO?plink=4DXmO9vlIPiqn9n6&ref=a_adblbests_c3_adblp13nbssp_3_7&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=GR1E5YEPGQYQ17NG3CPW
"48. Harry Potter and the Half-Blood Prince, Book 6",no subtitle,Narrated by: Jim Dale,Length: 18 hrs and 32 mins,Release date: 11-20-15,Language: English,"5 out of 5 stars
97,329 ratings",$44.99,https://www.audible.com/pd/Harry-Potter-and-the-Half-Blood-Prince-Book-6-Audiobook/B017V4NOZ0?plink=4DXmO9vlIPiqn9n6&ref=a_adblbests_c3_adblp13nbssp_3_8&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=GR1E5YEPGQYQ17NG3CPW
"49. Harry Potter and the Deathly Hallows, Book 7",no subtitle,Narrated by: Jim Dale,Length: 21 hrs and 37 mins,Release date: 11-20-15,Language: English,"5 out of 5 stars
136,888 ratings",$44.99,https://www.audible.com/pd/Harry-Potter-and-the-Deathly-Hallows-Book-7-Audiobook/B017WJ5ZK6?plink=4DXmO9vlIPiqn9n6&ref=a_adblbests_c3_adblp13nbssp_3_9&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=GR1E5YEPGQYQ17NG3CPW
50. The Quarry Girls,A Thriller,Narrated by: Jess Nahikian,Length: 10 hrs and 2 mins,Release date: 11-01-22,Language: English,"4.5 out of 5 stars
1,378 ratings",$30.09,https://www.audible.com/pd/The-Quarry-Girls-Audiobook/B09QDWLRYB?plink=4DXmO9vlIPiqn9n6&ref=a_adblbests_c3_adblp13nbssp_3_10&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=GR1E5YEPGQYQ17NG3CPW
51. 48 Laws of Power,no subtitle,Narrated by: Richard Poe,Length: 23 hrs and 6 mins,Release date: 05-01-15,Language: English,"4.5 out of 5 stars
21,395 ratings",$14.95,https://www.audible.com/pd/48-Laws-of-Power-Audiobook/B00WYDJ2YQ?plink=4DXmO9vlIPiqn9n6&ref=a_adblbests_c3_adblp13nbssp_3_11&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=GR1E5YEPGQYQ17NG3CPW
52. Extreme Ownership,How U.S. Navy SEALs Lead and Win,"Narrated by: Jocko Willink, Leif Babin",Length: 9 hrs and 33 mins,Release date: 10-19-15,Language: English,"5 out of 5 stars
71,445 ratings",$15.22,https://www.audible.com/pd/Extreme-Ownership-Audiobook/B015TVHUA2?plink=4DXmO9vlIPiqn9n6&ref=a_adblbests_c3_adblp13nbssp_3_12&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=GR1E5YEPGQYQ17NG3CPW
53. Surrender,"40 Songs, One Story",Narrated by: Bono,Length: 20 hrs and 25 mins,Release date: 11-01-22,Language: English,"5 out of 5 stars
1,508 ratings",$26.67,https://www.audible.com/pd/Surrender-Audiobook/B09ZK5B962?plink=4DXmO9vlIPiqn9n6&ref=a_adblbests_c3_adblp13nbssp_3_13&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=GR1E5YEPGQYQ17NG3CPW
54. A Game of Thrones,"A Song of Ice and Fire, Book 1",Narrated by: Roy Dotrice,Length: 33 hrs and 46 mins,Release date: 12-09-03,Language: English,"5 out of 5 stars
140,839 ratings",$36.90,https://www.audible.com/pd/A-Game-of-Thrones-Audiobook/B002UZZ93G?plink=4DXmO9vlIPiqn9n6&ref=a_adblbests_c3_adblp13nbssp_3_14&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=GR1E5YEPGQYQ17NG3CPW
55. Local Woman Missing,no subtitle,"Narrated by: Brittany Pressley, Jennifer Jill Araya, Gary Tiedemann, Jesse Vilinsky",Length: 11 hrs and 40 mins,Release date: 05-18-21,Language: English,"4.5 out of 5 stars
22,620 ratings",$15.44,https://www.audible.com/pd/Local-Woman-Missing-Audiobook/1488211698?plink=4DXmO9vlIPiqn9n6&ref=a_adblbests_c3_adblp13nbssp_3_15&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=GR1E5YEPGQYQ17NG3CPW
56. A Court of Thorns and Roses,no subtitle,Narrated by: Jennifer Ikeda,Length: 16 hrs and 7 mins,Release date: 05-05-15,Language: English,"4.5 out of 5 stars
32,237 ratings",$31.49,https://www.audible.com/pd/A-Court-of-Thorns-and-Roses-Audiobook/B00WRHY15Y?plink=4DXmO9vlIPiqn9n6&ref=a_adblbests_c3_adblp13nbssp_3_16&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=GR1E5YEPGQYQ17NG3CPW
57. Tom Clancy Red Winter,"A Jack Ryan Novel, Book 22",Narrated by: Scott Brick,Length: 12 hrs and 37 mins,Release date: 12-06-22,Language: English,"4.5 out of 5 stars
460 ratings",$35.00,https://www.audible.com/pd/Tom-Clancy-Red-Winter-Audiobook/B09VMYFH24?plink=4DXmO9vlIPiqn9n6&ref=a_adblbests_c3_adblp13nbssp_3_17&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=GR1E5YEPGQYQ17NG3CPW
58. Rich Dad Poor Dad: 20th Anniversary Edition,What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Narrated by: Tom Parks,Length: 8 hrs and 22 mins,Release date: 05-14-19,Language: English,"5 out of 5 stars
14,331 ratings",$12.99,https://www.audible.com/pd/Rich-Dad-Poor-Dad-20th-Anniversary-Edition-Audiobook/197869167X?plink=4DXmO9vlIPiqn9n6&ref=a_adblbests_c3_adblp13nbssp_3_18&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=GR1E5YEPGQYQ17NG3CPW
59. Dune,no subtitle,"Narrated by: Scott Brick, Orlagh Cassidy, Euan Morton, Simon Vance, Ilyana Kadushin, Byron Jennings, David R. Gordon, Jason Culp, Kent Broadhurst, Oliver Wyman, Patricia Kilgarriff, Scott Sowers",Length: 21 hrs and 2 mins,Release date: 12-31-06,Language: English,"4.5 out of 5 stars
111,609 ratings",$34.90,https://www.audible.com/pd/Dune-Audiobook/B002V1OF70?plink=4DXmO9vlIPiqn9n6&ref=a_adblbests_c3_adblp13nbssp_3_19&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=GR1E5YEPGQYQ17NG3CPW
