,player,org,rds,average_combat_score,kill_deaths,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,clutch (won/played),total_kills,total_deaths,total_assists,total_first_kills,total_first_deaths,map_id,agent,region
49,Virignia,,26,216.0,1.05,143.8,0.81,0.35,0.04,0.08,22%,0.08,0/3,21,21,20,9,1,1,astra,na
50,Prizz,,17,214.0,0.63,147.4,0.59,0.41,0.00,0.06,27%,0.06,0/2,10,10,16,7,0,1,astra,na
51,Rebo,RAD,533,213.9,1.15,138.8,0.78,0.28,0.12,0.13,24%,0.13,12/64,31,415,362,148,65,1,astra,na
52,Katriggered,PLR,97,213.7,1.46,131.4,0.81,0.28,0.07,0.07,20%,0.07,2/10,18,79,54,27,7,1,astra,na
53,Laisha,MRB,54,213.3,0.88,141.8,0.69,0.22,0.11,0.07,22%,0.07,0/9,18,37,42,12,6,1,astra,na
54,redo,,50,213.0,1.30,129.9,0.78,0.24,0.08,0.02,14%,0.02,0/5,20,39,30,12,4,1,astra,na
55,supamen,Rise,179,212.1,1.27,128.0,0.79,0.30,0.09,0.05,28%,0.05,6/26,23,141,111,54,16,1,astra,na
56,GetGreedy,CN,67,211.7,1.26,136.2,0.81,0.24,0.06,0.06,24%,0.06,2/12,21,54,43,16,4,1,astra,na
57,gucc107,Akre,346,211.1,1.19,132.5,0.77,0.28,0.11,0.09,28%,0.09,7/38,23,265,222,98,37,1,astra,na
58,wilfordius,,22,211.0,1.46,111.7,0.86,0.27,0.14,0.05,22%,0.05,0/2,19,19,13,6,3,1,astra,na
59,Kayleigh,Fata,37,210.0,0.90,128.6,0.76,0.14,0.08,0.08,32%,0.08,2/6,17,28,31,5,3,1,astra,na
60,soojai,SUPE,70,209.7,0.98,126.7,0.74,0.23,0.09,0.14,29%,0.14,0/6,20,52,53,16,6,1,astra,na
61,Dynasty,303,39,209.0,1.26,118.3,0.74,0.21,0.13,0.05,18%,0.05,0/8,16,29,23,8,5,1,astra,na
62,duck,TB,144,209.0,1.07,139.8,0.75,0.33,0.05,0.06,29%,0.06,3/34,28,108,101,48,7,1,astra,na
63,Cohburg,,116,207.8,1.11,139.4,0.72,0.22,0.09,0.09,30%,0.09,2/16,20,84,76,26,10,1,astra,na
64,Crunchy,SQ,715,207.5,1.18,131.9,0.75,0.28,0.10,0.07,29%,0.07,15/75,23,539,458,201,68,1,astra,na
65,Raiu,,14,207.0,0.69,135.6,0.64,0.00,0.14,0.07,15%,0.07,0/6,9,9,13,0,2,1,astra,na
66,dre,spon,26,206.0,0.86,153.5,0.69,0.50,0.12,0.08,32%,0.08,0/2,18,18,21,13,3,1,astra,na
67,maryna,XSET,106,203.8,1.19,128.5,0.77,0.28,0.10,0.06,27%,0.06,3/7,20,82,69,30,11,1,astra,na
68,In0X,,175,203.6,0.99,128.2,0.70,0.24,0.14,0.12,24%,0.12,3/20,20,123,124,42,24,1,astra,na
69,diaamond,SOR,42,203.5,1.07,136.2,0.74,0.17,0.05,0.10,40%,0.10,0/7,16,31,29,7,2,1,astra,na
70,randomnoob,,22,203.0,1.42,126.5,0.77,0.50,0.05,0.14,24%,0.14,3/3,17,17,12,11,1,1,astra,na
71,Jerk,RNG,295,202.4,1.11,128.9,0.73,0.33,0.04,0.04,17%,0.04,13/60,24,216,195,98,11,1,astra,na
72,jcStani,KCP,358,202.4,1.08,130.9,0.72,0.29,0.12,0.11,29%,0.11,3/19,20,259,240,104,43,1,astra,na
73,wOBBS,Ecle,17,202.0,0.67,117.0,0.59,0.29,0.12,0.12,33%,0.12,0/3,10,10,15,5,2,1,astra,na
74,zombs,SEN,239,201.8,1.20,121.7,0.72,0.33,0.09,0.10,19%,0.10,5/24,19,171,143,79,21,1,astra,na
75,zander,SoaR,204,201.5,1.29,126.8,0.75,0.42,0.06,0.06,26%,0.06,7/29,23,153,119,86,13,1,astra,na
76,steph,T1A,42,201.5,1.00,141.6,0.74,0.24,0.05,0.10,32%,0.10,0/6,16,31,31,10,2,1,astra,na
77,Tiraye,GGB,446,201.2,1.14,126.7,0.72,0.24,0.11,0.08,22%,0.08,8/43,24,323,284,106,51,1,astra,na
78,4Ebananafone,Zelo,31,200.5,0.75,131.0,0.68,0.13,0.03,0.19,16%,0.19,1/12,18,21,28,4,1,1,astra,na
79,Infamous,TeVo,38,200.0,0.87,114.8,0.71,0.13,0.05,0.24,23%,0.24,1/3,17,27,31,5,2,1,astra,na
80,bang,TSM,66,199.0,0.96,122.0,0.71,0.29,0.06,0.15,31%,0.15,2/7,19,47,49,19,4,1,astra,na
81,Ange,DZ,355,198.7,1.22,127.3,0.74,0.32,0.06,0.03,25%,0.03,10/51,21,264,216,115,23,1,astra,na
82,Natty,VX,26,197.0,1.06,127.4,0.73,0.38,0.04,0.12,33%,0.12,1/1,19,19,18,10,1,1,astra,na
83,maddy,,16,197.0,0.80,122.9,0.75,0.06,0.19,0.00,22%,0.00,0/5,12,12,15,1,3,1,astra,na
84,Ninja,TI,67,195.7,1.15,134.4,0.70,0.18,0.04,0.09,29%,0.09,3/9,18,47,41,12,3,1,astra,na
85,BRANTED,EG,258,195.7,1.04,132.0,0.72,0.25,0.05,0.05,30%,0.05,10/41,22,187,179,64,13,1,astra,na
86,msxshots,,59,195.3,1.18,122.0,0.76,0.17,0.07,0.07,21%,0.07,6/15,20,45,38,10,4,1,astra,na
87,egggs831,Hype,36,195.0,0.90,130.6,0.72,0.19,0.06,0.14,28%,0.14,1/7,18,26,29,7,2,1,astra,na
88,cevv,OOKE,71,194.7,0.96,130.8,0.68,0.37,0.10,0.11,25%,0.11,0/8,19,48,50,26,7,1,astra,na
89,stee,PMA,37,194.5,1.00,110.1,0.73,0.22,0.03,0.14,24%,0.14,0/3,17,27,27,8,1,1,astra,na
90,Sedrick,Hype,13,194.0,0.62,107.8,0.62,0.08,0.00,0.23,17%,0.23,0/2,8,8,13,1,0,1,astra,na
91,Joeyy,,26,193.0,1.00,161.3,0.62,0.23,0.00,0.00,20%,0.00,0/6,16,16,16,6,0,1,astra,na
92,Bjor,BBG,63,192.3,1.21,109.1,0.73,0.33,0.06,0.05,18%,0.05,3/8,19,46,38,21,4,1,astra,na
93,Andersin,DZ,105,192.2,0.91,128.1,0.70,0.18,0.12,0.12,23%,0.12,3/8,20,74,81,19,13,1,astra,na
94,Deimos,,26,192.0,1.00,111.4,0.69,0.19,0.12,0.12,17%,0.12,0/5,18,18,18,5,3,1,astra,na
95,Yung,,46,191.5,0.84,123.6,0.70,0.37,0.07,0.02,40%,0.02,0/6,19,32,38,17,3,1,astra,na
96,Lindsey,SRN.P,64,191.3,0.96,121.2,0.69,0.27,0.06,0.03,20%,0.03,3/16,19,44,46,17,4,1,astra,na
97,audrey,Nerd,86,191.3,0.88,119.3,0.69,0.27,0.07,0.08,28%,0.08,1/13,18,59,67,23,6,1,astra,na
98,b0i,100T,131,191.0,1.02,129.0,0.70,0.16,0.05,0.13,25%,0.13,1/9,23,92,90,21,6,1,astra,na
99,ohai,COL,42,190.5,1.00,110.2,0.62,0.24,0.19,0.12,22%,0.12,1/3,14,26,26,10,8,1,astra,na
100,Eazy,AE,41,190.0,0.96,126.2,0.59,0.22,0.02,0.02,20%,0.02,0/8,15,24,25,9,1,1,astra,na
101,Stronglegs,RNG,45,190.0,0.91,130.3,0.67,0.29,0.09,0.07,24%,0.07,0/3,18,30,33,13,4,1,astra,na
102,Gloomy,,23,190.0,1.13,114.0,0.74,0.13,0.04,0.04,44%,0.04,0/2,17,17,15,3,1,1,astra,na
103,stellar,Actu,150,189.7,1.15,131.7,0.73,0.23,0.05,0.03,21%,0.03,5/30,21,109,95,35,7,1,astra,na
104,cp2,RNG,648,189.5,1.08,121.6,0.68,0.33,0.08,0.08,25%,0.08,11/83,23,439,408,211,51,1,astra,na
105,Aiko,ex-S,93,189.4,1.02,125.1,0.72,0.26,0.06,0.06,24%,0.06,3/11,21,67,66,24,6,1,astra,na
106,GMAN,CD,44,189.0,0.97,131.2,0.70,0.30,0.05,0.00,29%,0.00,3/9,19,31,32,13,2,1,astra,na
107,Teets,,21,189.0,0.93,109.4,0.67,0.14,0.05,0.10,20%,0.10,1/3,14,14,15,3,1,1,astra,na
