,team1,team2,score1,score2,time_completed,round_info,tournament_name,match_page,tournament_icon
18,Dire Wolves,McBTSMac,0,2,6mo ago,Finals-Lower Bracket Round 1,Oceania Tour: Stage 02,/21212/dire-wolves-vs-mcbtsmac-oceania-tour-stage-02-lbr1,https://owcdn.net/img/6017169f35876.png
19,Team Bliss,Wildcard Gaming,0,2,6mo ago,Finals-Upper Bracket Semifinals,Oceania Tour: Stage 02,/21210/team-bliss-vs-wildcard-gaming-oceania-tour-stage-02-ubsf,https://owcdn.net/img/6017169f35876.png
20,T69,QQQ,2,1,6mo ago,Tournament-Upper Round of 16,Lethal Esports Invitational - Season 1,/21146/t69-vs-qqq-lethal-esports-invitational-season-1-tournament-uro16,https://owcdn.net/img/60b66098e4577.png
21,Invincible Gaming,All Gamers,7,13,6mo ago,Group Stage-Group A,Huya FMWH PangHu Cup: Summer,/20794/invincible-gaming-vs-all-gamers-huya-fmwh-panghu-cup-summer-group-a,https://owcdn.net/img/6092528718e67.png
22,LIZHI,Team Weibo,5,13,6mo ago,Group Stage-Group A,Huya FMWH PangHu Cup: Summer,/20795/vs-team-weibo-huya-fmwh-panghu-cup-summer-group-a,https://owcdn.net/img/6092528718e67.png
23,Team Weibo,Invincible Gaming,13,9,6mo ago,Group Stage-Group A,Huya FMWH PangHu Cup: Summer,/20792/team-weibo-vs-invincible-gaming-huya-fmwh-panghu-cup-summer-group-a,https://owcdn.net/img/6092528718e67.png
24,All Gamers,ex-O2 Gaming,13,11,6mo ago,Group Stage-Group A,Huya FMWH PangHu Cup: Summer,/20793/all-gamers-vs-o2-gaming-huya-fmwh-panghu-cup-summer-group-a,https://owcdn.net/img/6092528718e67.png
25,ORDER,Mindfreak,2,0,6mo ago,Finals-Upper Bracket Semifinals,Oceania Tour: Stage 02,/21209/order-vs-mindfreak-oceania-tour-stage-02-ubsf,https://owcdn.net/img/6017169f35876.png
26,Nebula,Straight Outta The Zoo,2,1,6mo ago,Finals-Lower Bracket Round 1,Oceania Tour: Stage 02,/21211/nebula-vs-straight-outta-the-zoo-oceania-tour-stage-02-lbr1,https://owcdn.net/img/6017169f35876.png
27,ex-O2 Gaming,Team Weibo,13,2,6mo ago,Group Stage-Group A,Huya FMWH PangHu Cup: Summer,/20790/o2-gaming-vs-team-weibo-huya-fmwh-panghu-cup-summer-group-a,https://owcdn.net/img/6092528718e67.png
28,Invincible Gaming,LIZHI,5,13,6mo ago,Group Stage-Group A,Huya FMWH PangHu Cup: Summer,/20791/invincible-gaming-vs-huya-fmwh-panghu-cup-summer-group-a,https://owcdn.net/img/6092528718e67.png
29,LIZHI,ex-O2 Gaming,13,5,6mo ago,Group Stage-Group A,Huya FMWH PangHu Cup: Summer,/20788/vs-o2-gaming-huya-fmwh-panghu-cup-summer-group-a,https://owcdn.net/img/6092528718e67.png
30,Team Weibo,All Gamers,14,12,6mo ago,Group Stage-Group A,Huya FMWH PangHu Cup: Summer,/20789/team-weibo-vs-all-gamers-huya-fmwh-panghu-cup-summer-group-a,https://owcdn.net/img/6092528718e67.png
31,All Gamers,LIZHI,10,13,6mo ago,Group Stage-Group A,Huya FMWH PangHu Cup: Summer,/20786/all-gamers-vs-huya-fmwh-panghu-cup-summer-group-a,https://owcdn.net/img/6092528718e67.png
32,ex-O2 Gaming,Invincible Gaming,13,2,6mo ago,Group Stage-Group A,Huya FMWH PangHu Cup: Summer,/20787/o2-gaming-vs-invincible-gaming-huya-fmwh-panghu-cup-summer-group-a,https://owcdn.net/img/6092528718e67.png
33,M4LIK,AREA,13,5,6mo ago,Qualifier #1-Lower Bracket Final,VALORANT UK & I Skirmish,/21107/m4lik-vs-area-valorant-uk-i-skirmish-lbf,https://owcdn.net/img/60b753653a1c3.png
34,Wildcard Gaming,McBTSMac,2,0,6mo ago,Finals-Upper Bracket Quarterfinals,Oceania Tour: Stage 02,/19822/wildcard-gaming-vs-mcbtsmac-oceania-tour-stage-02-ubqf,https://owcdn.net/img/6017169f35876.png
35,Straight Outta The Zoo,Mindfreak,1,2,6mo ago,Finals-Upper Bracket Quarterfinals,Oceania Tour: Stage 02,/19820/straight-outta-the-zoo-vs-mindfreak-oceania-tour-stage-02-ubqf,https://owcdn.net/img/6017169f35876.png
36,ORDER,Nebula,2,0,6mo ago,Finals-Upper Bracket Quarterfinals,Oceania Tour: Stage 02,/19819/order-vs-nebula-oceania-tour-stage-02-ubqf,https://owcdn.net/img/6017169f35876.png
37,Team Bliss,Dire Wolves,2,0,6mo ago,Finals-Upper Bracket Quarterfinals,Oceania Tour: Stage 02,/19821/team-bliss-vs-dire-wolves-oceania-tour-stage-02-ubqf,https://owcdn.net/img/6017169f35876.png
38,Team Bliss,Shadownet,2,1,6mo ago,Group Stage-Week 3,LPL Autumn Cup Legends 2021,/20175/team-bliss-vs-shadownet-lpl-autumn-cup-legends-2021-group-stage-w3,https://owcdn.net/img/5f471342b2dff.png
39,Eshays,McTeam,2,0,6mo ago,Group Stage-Week 3,LPL Autumn Cup Legends 2021,/20174/eshays-vs-mcteam-lpl-autumn-cup-legends-2021-group-stage-w3,https://owcdn.net/img/5f471342b2dff.png
40,Villains Esports,Tilted,0,2,6mo ago,Group Stage-Week 3,LPL Autumn Cup Legends 2021,/20172/villains-esports-vs-tilted-lpl-autumn-cup-legends-2021-group-stage-w3,https://owcdn.net/img/5f471342b2dff.png
41,Nebula,Pigeons Esports,2,1,6mo ago,Group Stage-Week 3,LPL Autumn Cup Legends 2021,/20171/nebula-vs-pigeons-esports-lpl-autumn-cup-legends-2021-group-stage-w3,https://owcdn.net/img/5f471342b2dff.png
42,Sentinels,Fnatic,3,0,6mo ago,Main Event-Grand Final,Valorant Champions Tour Stage 2: Masters Reykjavik,/19089/sentinels-vs-fnatic-valorant-champions-tour-stage-2-masters-reykjavik-main-event-gf,https://owcdn.net/img/603bfd7bf3f54.png
43,Suning Gaming,Team Weibo,2,3,6mo ago,Playoffs-Grand Final,Star Project: Season 1,/19611/suning-gaming-vs-team-weibo-star-project-season-1-gf,https://owcdn.net/img/60aa301e3fa89.png
44,ORDER,Mindfreak,2,1,6mo ago,Playoffs-Upper Semifinals,AOC Rising Heroes ANZ 2021,/20672/order-vs-mindfreak-aoc-rising-heroes-anz-2021-ubsf,https://owcdn.net/img/60470cbf0f589.png
45,Team Bliss,Wildcard Gaming,0,2,6mo ago,Playoffs-Upper Semifinals,AOC Rising Heroes ANZ 2021,/20673/team-bliss-vs-wildcard-gaming-aoc-rising-heroes-anz-2021-ubsf,https://owcdn.net/img/60470cbf0f589.png
46,Tyrant Esports,McBTSMac,0,2,6mo ago,Playoffs-Lower Round 1,AOC Rising Heroes ANZ 2021,/20675/tyrant-esports-vs-mcbtsmac-aoc-rising-heroes-anz-2021-lr1,https://owcdn.net/img/60470cbf0f589.png
47,Paradox Esports,Dire Wolves,2,0,6mo ago,Playoffs-Lower Round 1,AOC Rising Heroes ANZ 2021,/20676/paradox-esports-vs-dire-wolves-aoc-rising-heroes-anz-2021-lr1,https://owcdn.net/img/60470cbf0f589.png
48,ORDER,Tyrant Esports,2,0,6mo ago,Playoffs-Upper Quarterfinals,AOC Rising Heroes ANZ 2021,/20668/order-vs-tyrant-esports-aoc-rising-heroes-anz-2021-ubqf,https://owcdn.net/img/60470cbf0f589.png
49,Mindfreak,McBTSMac,2,0,6mo ago,Playoffs-Upper Quarterfinals,AOC Rising Heroes ANZ 2021,/20669/mindfreak-vs-mcbtsmac-aoc-rising-heroes-anz-2021-ubqf,https://owcdn.net/img/60470cbf0f589.png
0,Team Bliss,Dire Wolves,2,0,6mo ago,Playoffs-Upper Quarterfinals,AOC Rising Heroes ANZ 2021,/20670/team-bliss-vs-dire-wolves-aoc-rising-heroes-anz-2021-ubqf,https://owcdn.net/img/60470cbf0f589.png
1,Wildcard Gaming,Paradox Esports,2,0,6mo ago,Playoffs-Upper Quarterfinals,AOC Rising Heroes ANZ 2021,/20671/wildcard-gaming-vs-paradox-esports-aoc-rising-heroes-anz-2021-ubqf,https://owcdn.net/img/60470cbf0f589.png
