match_date,home_team,match_score,away_team
10-02-2022,Liverpool,2 - 0,Leicester
13-02-2022,Burnley,0 - 1,Liverpool
19-02-2022,Liverpool,3 - 1,Norwich
23-02-2022,Liverpool,6 - 0,Leeds
05-03-2022,Liverpool,1 - 0,West Ham
12-03-2022,Brighton,0 - 2,Liverpool
16-03-2022,Arsenal,0 - 2,Liverpool
02-04-2022,Liverpool,2 - 0,Watford
10-04-2022,Man City,2 - 2,Liverpool
19-04-2022,Liverpool,4 - 0,Man United
24-04-2022,Liverpool,2 - 0,Everton
30-04-2022,Newcastle,0 - 1,Liverpool
07-05-2022,Liverpool,1 - 1,Tottenham
10-05-2022,Aston Villa,1 - 2,Liverpool
17-05-2022,Southampton,1 - 2,Liverpool
22-05-2022,Liverpool,3 - 1,Wolves
15-08-2021,Tottenham,1 - 0,Man City
21-08-2021,Man City,5 - 0,Norwich
28-08-2021,Man City,5 - 0,Arsenal
11-09-2021,Leicester,0 - 1,Man City
18-09-2021,Man City,0 - 0,Southampton
25-09-2021,Chelsea,0 - 1,Man City
03-10-2021,Liverpool,2 - 2,Man City
16-10-2021,Man City,2 - 0,Burnley
23-10-2021,Brighton,1 - 4,Man City
30-10-2021,Man City,0 - 2,Crystal Palace
06-11-2021,Man United,0 - 2,Man City
21-11-2021,Man City,3 - 0,Everton
28-11-2021,Man City,2 - 1,West Ham
01-12-2021,Aston Villa,1 - 2,Man City
04-12-2021,Watford,1 - 3,Man City
11-12-2021,Man City,1 - 0,Wolves
14-12-2021,Man City,7 - 0,Leeds
19-12-2021,Newcastle,0 - 4,Man City
26-12-2021,Man City,6 - 3,Leicester
29-12-2021,Brentford,0 - 1,Man City
01-01-2022,Arsenal,1 - 2,Man City
15-01-2022,Man City,1 - 0,Chelsea
22-01-2022,Southampton,1 - 1,Man City
09-02-2022,Man City,2 - 0,Brentford
12-02-2022,Norwich,0 - 4,Man City
19-02-2022,Man City,2 - 3,Tottenham
26-02-2022,Everton,0 - 1,Man City
06-03-2022,Man City,4 - 1,Man United
14-03-2022,Crystal Palace,0 - 0,Man City
02-04-2022,Burnley,0 - 2,Man City
10-04-2022,Man City,2 - 2,Liverpool
20-04-2022,Man City,3 - 0,Brighton
23-04-2022,Man City,5 - 1,Watford
30-04-2022,Leeds,0 - 4,Man City
08-05-2022,Man City,5 - 0,Newcastle
11-05-2022,Wolves,1 - 5,Man City
15-05-2022,West Ham,2 - 2,Man City
22-05-2022,Man City,3 - 2,Aston Villa
14-08-2021,Man United,5 - 1,Leeds
22-08-2021,Southampton,1 - 1,Man United
29-08-2021,Wolves,0 - 1,Man United
